"","X.1","X","text","scores"
"175",175,175,"Must Vote

After days of demonetization Only Lakhs cr returned to Bank out ofLakhs cr 

Kahan gayaLakhs Cr…",0
"176",176,176,"Why some bullshits are trying g to be spokesperson of public on DemonetizationLet them decide",0
"177",177,177,"Today again demonetization debate in Parlmnt stalled due to disruptionedUAUBDedUBU i dont undrstnd why oppstn wants to stall its ow…",0
"178",178,178,"novworkhrstand in queue forhrIAmWithModidemonization tughlakmodi demonetization",0
"179",179,179,"chaks mvmeet Well educated Keralites amp Bengalis will support Bandh not coz Demonetization they only know to react not respond",0
"180",180,180,"The effect of Demonetization 
ravishndtv ShekharGupta hvgoenka mrsfunnybones GabbbarSingh Iamanirudhsethi",0
"181",181,181,"How to convert all your black money into white following the DeMonetization How to…",0
"182",182,182,"WedNovCommunist Party of India files petition with Supreme Court challenging governments controversial demonetization decision",0
"183",183,183,"Any move against demonetization should b comparedtreason This move may hv created little trouble but its gonna save India
netascashin",0
"184",184,184,"then the result will be Demonetization regrets Will rural economy turn cashless Remains to be seen",0
"185",185,185,"Demonetization India EconomicsBehind
Economics behind demonetization of Rsampnotes",0
"186",186,186,"Oppositions demand strike UUAUAUEUUUUU 
DeMonetization",0
"187",187,187,"When u see ppl like Mamta amp Mayawati raising question abt demonetizationthn anyone will be agree that its good move by Modi NoteBandi",0
"188",188,188,"RakhiSawant Support demonetization of Currency By PMModi 

VIDEOUC",0
"189",189,189,"Spoke about demonetization in India and its impact on women with MarcoWerman pritheworld",0
"190",190,190,"Demonetization The time has come to put MUDRA into action writes Prof R Vaidyanathan",0
"191",191,191,"lakh from mil followers of narendramodi isonly amp abtonly frm bil India population demonetization ndtv NOTofIndia",0
"192",192,192,"OnlyLakhs Responses on Demonetization Modi ji has more thanmillions followers on Twitter amp approx",0
"193",193,193,"This is a simple survey at my Facebook page This too shows mood of the nation on demonetization Modi has asked",0
"194",194,194,"narendramodi Demonetization is the last refuge of a political scoundrel who keeps arunjaitley DasShaktikanta etc as aids",0
"195",195,195,"This is a simple survey at my Facebook page This too shows mood of the nation on demonetization Modi has asked wr…",0
"196",196,196,"After the demonetization searches about NarendraModis app are trending on app stores",0
"197",197,197,"sirjadejatitle has been substituted by moderndayhitler after demonetization",0
